Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,IsArrDelayed,IsDepDelayed
2008,1,25,5,2146,2130,2258,2240,WN,1829,N717SA,72,70,61,18,16,BUR,OAK,325,4,7,0,"",0,0,0,2,0,16,YES,YES
2008,1,25,5,1453,1435,1602,1545,WN,1845,N437WN,69,70,60,17,18,BUR,OAK,325,3,6,0,"",0,14,0,0,0,3,YES,YES
2008,1,25,5,745,745,858,900,WN,2030,N755SA,73,75,59,-2,0,BUR,OAK,325,4,10,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1218,1210,1334,1320,WN,2184,N281WN,76,70,60,14,8,BUR,OAK,325,4,12,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1623,1545,1743,1700,WN,2970,N293,80,75,60,43,38,BUR,OAK,325,4,16,0,"",0,7,0,5,0,31,YES,YES
2008,1,25,5,1706,1640,1821,1755,WN,3327,N796SW,75,75,58,26,26,BUR,OAK,325,5,12,0,"",0,13,0,0,0,13,YES,YES
2008,1,25,5,1745,1730,1907,1845,WN,3831,N484WN,82,75,65,22,15,BUR,OAK,325,6,11,0,"",0,9,0,7,0,6,YES,YES
2008,1,25,5,1633,1620,1905,1845,WN,368,N901WN,92,85,68,20,13,BUR,PHX,369,6,18,0,"",0,1,0,7,0,12,YES,NO
2008,1,25,5,700,700,910,925,WN,613,N786SW,70,85,55,-15,0,BUR,PHX,369,5,10,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,806,805,1023,1025,WN,807,N242WN,77,80,66,-2,1,BUR,PHX,369,4,7,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1000,940,1223,1205,WN,989,N769SW,83,85,68,18,20,BUR,PHX,369,5,10,0,"",0,4,0,0,0,14,YES,YES
2008,1,25,5,1119,1110,1341,1335,WN,1352,N300SW,82,85,64,6,9,BUR,PHX,369,5,13,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1920,1915,2138,2135,WN,1464,N410WN,78,80,63,3,5,BUR,PHX,369,5,10,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1805,1750,2026,2015,WN,1624,N799SW,81,85,61,11,15,BUR,PHX,369,7,13,0,"",0,NA,NA,NA,NA,NA,NO,YES
2008,1,25,5,1253,1235,1507,1500,WN,2610,N737JW,74,85,58,7,18,BUR,PHX,369,7,9,0,"",0,NA,NA,NA,NA,NA,NO,YES
2008,1,25,5,1452,1435,1713,1655,WN,3077,N740SW,81,80,66,18,17,BUR,PHX,369,6,9,0,"",0,7,0,1,0,10,YES,YES
2008,1,25,5,2209,2055,19,2310,WN,3775,N331SW,70,75,59,69,74,BUR,PHX,369,1,10,0,"",0,2,0,0,0,67,YES,YES
2008,1,25,5,1523,1510,1629,1615,WN,205,N482WN,66,65,53,14,13,BUR,SJC,296,4,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,710,705,815,815,WN,1048,N776WN,65,70,50,0,5,BUR,SJC,296,4,11,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1910,1820,2015,1925,WN,1381,N786SW,65,65,52,50,50,BUR,SJC,296,4,9,0,"",0,5,0,0,0,45,YES,YES
2008,1,25,5,1715,1640,1819,1745,WN,1402,N793SA,64,65,54,34,35,BUR,SJC,296,3,7,0,"",0,6,0,0,0,28,YES,YES
2008,1,25,5,2113,2100,2220,2205,WN,1414,N743SW,67,65,52,15,13,BUR,SJC,296,4,11,0,"",0,0,0,2,0,13,YES,NO
2008,1,25,5,1336,1335,1444,1440,WN,1500,N298WN,68,65,51,4,1,BUR,SJC,296,4,13,0,"",0,NA,NA,NA,NA,NA,NO,NO
